,Location,Price,Size,Rooms,Bathrooms,link
229,cajicá - Cajicá,$254.347.019,63m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-del-lago-2/cajica/cajica/6721691
230,centro - Cajicá,$228.592.000,57m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
231,Cajicá Cundinamarca - Cajicá,$231.200.000,56m²,2ha.,1ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/rivera-del-valle/cajica-cundinamarca/cajica/6297552
232,CENTRO - Cajicá,$185.789.000,45m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
233,centro - Cajicá,$284.147.000,75m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
234,Centro - Cajicá,$240.162.000,66m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
235,cajicá - Cajicá,$757.766.500,"114,88m²",3ha.,4ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-savanna/cajica/cajica/2621770
236,cajicá - Cajicá,$1.093.819.890,"164,38m²",3ha.,5ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/oikos-savanna/cajica/cajica/2621770
237,cajicá - Cajicá,$363.100.000,76m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/huertas-oriental-i/cajica/cajica/6514063
238,centro - Cajicá,$192.606.000,46m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
239,cajicá - Cajicá,$288.439.760,67m²,3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-del-lago-2/cajica/cajica/6721691
240,cajicá - Cajicá,$518.700.000,106m²,3ha.,3ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/huertas-oriental-i/cajica/cajica/6514063
241,centro - Cajicá,$198.132.000,50m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/el-molino--parque-central-cajica/centro/cajica/4478865
242,cajicá - Cajicá,$316.814.000,"74,25m²",3ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/girasoles./cajica/cajica/6815188
243,cajicá - Cajicá,$369.999.840,77m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/huertas-oriental-i/cajica/cajica/6514063
244,chuntame - Cajicá,$177.500.000,47m²,2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/reserva-de-cajica/chuntame/cajica/5441166
245,La calera - La Calera,$338.531.484,"69,71m²",2ha.,2ba.,https://www.fincaraiz.com.co/proyecto-de-vivienda/calera-gardens/la-calera/la-calera/3432109
